                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.80933,                 1.7766,                0.66443,                 1.0733,                0.83871,                0.71827,                0.76051,                0.58638,                0.82772,                0.70959,                0.74932,                0.49387,                 1.0263,                 2.2919,                0.84352,                0.96376,               0.005941,               0.005941,               0.005941
                     84,                0.81344,                 1.7709,                0.66931,                 1.0782,                0.84211,                0.71791,                0.76298,                 0.5824,                0.84335,                0.69909,                 0.7436,                0.48612,                 1.0513,                 2.2753,                0.85528,                0.96771,              0.0058915,              0.0058915,              0.0058915
                     85,                 0.8131,                 1.7789,                0.66165,                 1.0752,                0.83998,                0.71826,                0.76485,                0.59172,                0.84075,                0.70533,                0.74667,                 0.4953,                 1.0301,                 2.2409,                0.84865,                0.95903,               0.005842,               0.005842,               0.005842
                     86,                0.80782,                 1.7811,                 0.6646,                 1.0704,                0.84265,                0.72566,                0.76621,                0.58301,                  0.841,                0.71107,                0.75057,                0.48082,                 1.0611,                 2.2718,                0.86787,                0.98094,              0.0057925,              0.0057925,              0.0057925
                     87,                0.80308,                 1.7853,                0.66533,                 1.0736,                 0.8336,                0.72482,                 0.7658,                0.59285,                0.83256,                0.70956,                0.74781,                0.49179,                 1.0236,                 2.2198,                0.84638,                0.94295,               0.005743,               0.005743,               0.005743
                     88,                0.79635,                  1.764,                0.65615,                 1.0642,                0.86146,                0.71496,                0.75997,                0.58441,                0.85343,                0.70138,                 0.7438,                  0.488,                  1.048,                 2.2758,                0.86361,                0.96872,              0.0056935,              0.0056935,              0.0056935
                     89,                0.80749,                 1.7693,                0.66501,                 1.0707,                 0.8477,                0.71925,                0.76587,                0.58901,                0.84246,                0.71061,                0.75206,                0.48993,                 1.0327,                 2.2722,                 0.8355,                0.96223,               0.005644,               0.005644,               0.005644
                     90,                0.79556,                 1.7499,                0.65581,                 1.0663,                0.85656,                0.71185,                0.76289,                0.58646,                0.85436,                 0.6964,                0.74485,                0.49009,                 1.0317,                 2.3026,                0.85492,                0.95521,              0.0055945,              0.0055945,              0.0055945
                     91,                0.78871,                 1.7619,                0.65369,                 1.0647,                0.82026,                0.73233,                0.76643,                0.58725,                0.85158,                0.69908,                   0.75,                0.48292,                 1.0351,                 2.3194,                0.84898,                 0.9597,               0.005545,               0.005545,               0.005545
                     92,                0.79701,                 1.7542,                0.65125,                 1.0705,                0.86018,                0.71524,                0.76684,                0.59072,                0.85409,                0.69236,                0.74254,                0.48875,                 1.0288,                 2.2613,                0.83626,                0.94629,              0.0054955,              0.0054955,              0.0054955
                     93,                0.79445,                 1.7406,                0.64643,                   1.07,                0.84458,                0.71722,                0.76097,                0.58438,                0.85017,                0.69972,                0.74453,                0.48845,                  1.045,                  2.344,                0.84823,                  0.968,               0.005446,               0.005446,               0.005446
                     94,                 0.7833,                 1.7323,                0.64261,                 1.0598,                0.83321,                0.72883,                0.76224,                0.58906,                0.81885,                0.71434,                0.74445,                0.49014,                 1.0312,                 2.3312,                0.84002,                0.96038,              0.0053965,              0.0053965,              0.0053965
                     95,                0.78877,                 1.7246,                0.64206,                 1.0643,                0.83764,                0.72672,                0.75881,                0.58766,                0.82925,                0.71618,                0.74106,                 0.4894,                 1.0261,                 2.3043,                0.83993,                0.95225,               0.005347,               0.005347,               0.005347
                     96,                   0.78,                 1.7176,                0.64184,                 1.0602,                0.85015,                0.72029,                0.76265,                0.58723,                0.84341,                0.70445,                 0.7444,                 0.4955,                  1.041,                 2.3026,                0.84524,                0.96834,              0.0052975,              0.0052975,              0.0052975
                     97,                 0.7903,                 1.7199,                0.64164,                 1.0628,                0.81187,                0.73822,                0.76182,                0.59039,                0.86646,                0.69197,                0.74081,                0.49526,                  1.027,                 2.3335,                0.84878,                0.96034,               0.005248,               0.005248,               0.005248
                     98,                0.78637,                 1.7267,                 0.6393,                 1.0591,                0.84247,                0.71003,                0.76246,                0.59106,                 0.8319,                0.70256,                0.74498,                0.49819,                 1.0386,                 2.2912,                0.85542,                0.97251,              0.0051985,              0.0051985,              0.0051985
                     99,                0.78418,                 1.7092,                0.63966,                 1.0578,                0.84167,                0.71189,                0.76241,                 0.5836,                 0.8298,                0.70245,                0.74256,                0.48744,                 1.0379,                 2.2818,                0.87055,                  0.963,               0.005149,               0.005149,               0.005149
                    100,                0.77735,                 1.6995,                0.63612,                 1.0613,                0.83615,                0.71731,                0.76197,                0.58513,                0.85139,                0.70138,                 0.7444,                 0.4878,                 1.0709,                 2.2926,                0.86261,                 0.9929,              0.0050995,              0.0050995,              0.0050995
                    101,                0.77756,                 1.7011,                0.63181,                 1.0548,                 0.8545,                 0.7115,                0.76301,                 0.5882,                0.83898,                 0.6947,                0.73518,                0.48852,                 1.0246,                 2.3512,                0.83198,                0.95783,                0.00505,                0.00505,                0.00505
                    102,                0.78053,                 1.7082,                0.63851,                 1.0553,                0.84503,                0.72043,                0.76423,                0.58859,                0.82927,                0.70845,                0.74835,                0.48948,                 1.0345,                 2.3893,                0.83282,                0.96274,              0.0050005,              0.0050005,              0.0050005
                    103,                 0.7763,                 1.6864,                0.62646,                 1.0547,                0.84287,                0.72576,                0.76968,                0.59487,                0.83076,                 0.7146,                0.75084,                0.49489,                 1.0332,                 2.3312,                0.83707,                0.95889,               0.004951,               0.004951,               0.004951
                    104,                0.77338,                 1.6763,                0.62352,                 1.0579,                0.85419,                0.71928,                0.76466,                0.59089,                0.86197,                0.70587,                0.74585,                0.49091,                 1.0312,                 2.3769,                0.82829,                 0.9553,              0.0049015,              0.0049015,              0.0049015
                    105,                0.77566,                 1.6841,                   0.63,                 1.0545,                0.85377,                0.70868,                0.76453,                0.58353,                0.83723,                0.70083,                0.74605,                0.49107,                 1.0558,                 2.3983,                0.85386,                0.98334,               0.004852,               0.004852,               0.004852
                    106,                0.77451,                  1.695,                0.62733,                  1.053,                0.84099,                0.72217,                0.76704,                0.58925,                0.82981,                 0.7044,                 0.7432,                  0.486,                 1.0303,                 2.3064,                0.83396,                0.95376,              0.0048025,              0.0048025,              0.0048025
                    107,                0.76698,                 1.6737,                0.62162,                 1.0495,                 0.8348,                0.72007,                0.76467,                0.58681,                0.85395,                0.69858,                0.74958,                 0.4904,                 1.0424,                 2.3164,                0.82967,                   0.97,               0.004753,               0.004753,               0.004753
